,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
988223,4,6,2013-01-26,9323,1326,1,0,0,0
988228,9,6,2013-01-26,4544,414,1,0,0,0
988225,6,6,2013-01-26,3443,388,1,0,0,0
988226,7,6,2013-01-26,3774,420,1,0,0,0
988227,8,6,2013-01-26,2366,285,1,0,0,0
988224,5,6,2013-01-26,1570,187,1,0,0,0
987105,1,7,2013-01-27,0,0,0,0,0,0
987106,2,7,2013-01-27,0,0,0,0,0,0
987107,3,7,2013-01-27,0,0,0,0,0,0
987108,4,7,2013-01-27,0,0,0,0,0,0
987110,6,7,2013-01-27,0,0,0,0,0,0
987111,7,7,2013-01-27,0,0,0,0,0,0
987112,8,7,2013-01-27,0,0,0,0,0,0
987113,9,7,2013-01-27,0,0,0,0,0,0
987109,5,7,2013-01-27,0,0,0,0,0,0
985992,3,1,2013-01-28,5352,722,1,0,0,0
985990,1,1,2013-01-28,4055,549,1,0,0,0
985991,2,1,2013-01-28,3549,488,1,0,0,0
985993,4,1,2013-01-28,7374,1120,1,0,0,0
985998,9,1,2013-01-28,4683,458,1,0,0,0
985995,6,1,2013-01-28,6209,772,1,0,0,0
985996,7,1,2013-01-28,6483,768,1,0,0,0
985997,8,1,2013-01-28,3459,582,1,0,0,0
985994,5,1,2013-01-28,3089,451,1,0,0,0
984875,1,2,2013-01-29,3725,522,1,0,0,0
984877,3,2,2013-01-29,5375,711,1,0,0,0
984876,2,2,2013-01-29,3461,476,1,0,0,0
984878,4,2,2013-01-29,7559,1116,1,0,0,0
984882,8,2,2013-01-29,3846,540,1,0,0,0
984880,6,2,2013-01-29,5411,641,1,0,0,0
984881,7,2,2013-01-29,6480,793,1,0,0,0
984883,9,2,2013-01-29,3941,382,1,0,0,0
984879,5,2,2013-01-29,3569,472,1,0,0,0
983768,9,3,2013-01-30,4341,415,1,0,0,0
983767,8,3,2013-01-30,3638,484,1,0,0,0
983766,7,3,2013-01-30,5401,632,1,0,0,0
983765,6,3,2013-01-30,5751,708,1,0,0,0
983764,5,3,2013-01-30,4273,570,1,0,0,0
983763,4,3,2013-01-30,7601,1065,1,0,0,0
983762,3,3,2013-01-30,4920,647,1,0,0,0
983761,2,3,2013-01-30,4446,608,1,0,0,0
983760,1,3,2013-01-30,4601,560,1,0,0,0
982645,1,4,2013-01-31,4709,571,1,0,0,0
982646,2,4,2013-01-31,4340,517,1,0,0,0
982647,3,4,2013-01-31,5682,648,1,0,0,0
982648,4,4,2013-01-31,10359,1355,1,0,0,0
982650,6,4,2013-01-31,6458,755,1,0,0,0
982651,7,4,2013-01-31,7072,757,1,0,0,0
982652,8,4,2013-01-31,5680,722,1,0,0,0
982649,5,4,2013-01-31,4392,571,1,0,0,0
982653,9,4,2013-01-31,5098,433,1,0,0,0
981534,5,5,2013-02-01,4241,576,1,0,0,0
981538,9,5,2013-02-01,5610,473,1,0,0,0
981537,8,5,2013-02-01,4406,572,1,0,0,0
981536,7,5,2013-02-01,8721,1007,1,0,0,0
981535,6,5,2013-02-01,6601,786,1,0,0,0
981533,4,5,2013-02-01,9332,1363,1,0,0,0
981532,3,5,2013-02-01,6725,806,1,0,0,0
981531,2,5,2013-02-01,4545,554,1,0,0,0
981530,1,5,2013-02-01,5633,658,1,0,0,0
980416,2,6,2013-02-02,2956,361,1,0,0,0
980417,3,6,2013-02-02,5155,603,1,0,0,0
980415,1,6,2013-02-02,5970,701,1,0,0,0
980418,4,6,2013-02-02,11123,1524,1,0,0,0
980423,9,6,2013-02-02,5862,487,1,0,0,0
980420,6,6,2013-02-02,3927,425,1,0,0,0
980421,7,6,2013-02-02,5752,587,1,0,0,0
980422,8,6,2013-02-02,2399,313,1,0,0,0
980419,5,6,2013-02-02,1757,211,1,0,0,0
979300,1,7,2013-02-03,0,0,0,0,0,0
979301,2,7,2013-02-03,0,0,0,0,0,0
979302,3,7,2013-02-03,0,0,0,0,0,0
979303,4,7,2013-02-03,0,0,0,0,0,0
979305,6,7,2013-02-03,0,0,0,0,0,0
979306,7,7,2013-02-03,0,0,0,0,0,0
979307,8,7,2013-02-03,0,0,0,0,0,0
979308,9,7,2013-02-03,0,0,0,0,0,0
979304,5,7,2013-02-03,0,0,0,0,0,0
978187,3,1,2013-02-04,10913,1070,1,1,0,0
978185,1,1,2013-02-04,7032,762,1,1,0,0
978186,2,1,2013-02-04,6480,688,1,1,0,0
978188,4,1,2013-02-04,13937,1750,1,1,0,1
978193,9,1,2013-02-04,7431,625,1,1,0,0
978190,6,1,2013-02-04,7954,898,1,1,0,1
978191,7,1,2013-02-04,11182,1054,1,1,0,0
978192,8,1,2013-02-04,8273,869,1,1,0,0
978189,5,1,2013-02-04,6846,679,1,1,0,1
977071,2,2,2013-02-05,6269,674,1,1,0,0
977070,1,2,2013-02-05,6049,678,1,1,0,0
977072,3,2,2013-02-05,9372,925,1,1,0,0
977073,4,2,2013-02-05,11353,1489,1,1,0,1
977074,5,2,2013-02-05,5662,590,1,1,0,1
977075,6,2,2013-02-05,7334,804,1,1,0,1
977076,7,2,2013-02-05,9502,974,1,1,0,0
977077,8,2,2013-02-05,6901,748,1,1,0,0
977078,9,2,2013-02-05,6691,554,1,1,0,0
975956,2,3,2013-02-06,6438,769,1,1,0,0
975957,3,3,2013-02-06,9084,950,1,1,0,0
975958,4,3,2013-02-06,10095,1411,1,1,0,1
975955,1,3,2013-02-06,6140,693,1,1,0,0
975960,6,3,2013-02-06,6871,760,1,1,0,1
975961,7,3,2013-02-06,8303,849,1,1,0,0
975962,8,3,2013-02-06,6237,700,1,1,0,0
975963,9,3,2013-02-06,6396,559,1,1,0,0
975959,5,3,2013-02-06,5724,687,1,1,0,1
974840,1,4,2013-02-07,5499,675,1,1,0,0
974841,2,4,2013-02-07,5575,638,1,1,0,0
974842,3,4,2013-02-07,7786,861,1,1,0,0
974843,4,4,2013-02-07,10162,1379,1,1,0,1
974844,5,4,2013-02-07,4889,559,1,1,0,1
974846,7,4,2013-02-07,8664,934,1,1,0,0
974847,8,4,2013-02-07,6833,807,1,1,0,0
974848,9,4,2013-02-07,5320,498,1,1,0,0
974845,6,4,2013-02-07,6193,716,1,1,0,1
973725,1,5,2013-02-08,5681,630,1,1,0,0
973727,3,5,2013-02-08,7945,842,1,1,0,0
973728,4,5,2013-02-08,9965,1380,1,1,0,1
973726,2,5,2013-02-08,4203,491,1,1,0,0
973730,6,5,2013-02-08,6623,716,1,1,0,1
973731,7,5,2013-02-08,8091,879,1,1,0,0
973732,8,5,2013-02-08,6035,606,1,1,0,0
973733,9,5,2013-02-08,5876,530,1,1,0,0
973729,5,5,2013-02-08,4764,555,1,1,0,1
972612,3,6,2013-02-09,4324,494,1,0,0,0
972610,1,6,2013-02-09,5370,656,1,0,0,0
972611,2,6,2013-02-09,3031,354,1,0,0,0
972613,4,6,2013-02-09,10095,1480,1,0,0,0
972618,9,6,2013-02-09,5498,514,1,0,0,0
972615,6,6,2013-02-09,3851,438,1,0,0,0
972616,7,6,2013-02-09,4437,506,1,0,0,0
972617,8,6,2013-02-09,2487,335,1,0,0,0
972614,5,6,2013-02-09,1709,188,1,0,0,0
971496,2,7,2013-02-10,0,0,0,0,0,0
971497,3,7,2013-02-10,0,0,0,0,0,0
971498,4,7,2013-02-10,0,0,0,0,0,0
971495,1,7,2013-02-10,0,0,0,0,0,0
971500,6,7,2013-02-10,0,0,0,0,0,0
971501,7,7,2013-02-10,0,0,0,0,0,0
971502,8,7,2013-02-10,0,0,0,0,0,0
971503,9,7,2013-02-10,0,0,0,0,0,0
971499,5,7,2013-02-10,0,0,0,0,0,0
970388,9,1,2013-02-11,3745,387,1,0,0,0
970387,8,1,2013-02-11,4215,623,1,0,0,0
970386,7,1,2013-02-11,7457,941,1,0,0,0
970385,6,1,2013-02-11,5695,734,1,0,0,1
970384,5,1,2013-02-11,3978,560,1,0,0,1
970383,4,1,2013-02-11,8907,1386,1,0,0,0
970382,3,1,2013-02-11,5541,736,1,0,0,0
970381,2,1,2013-02-11,4303,582,1,0,0,0
970380,1,1,2013-02-11,4409,599,1,0,0,0
969266,2,2,2013-02-12,3968,504,1,0,0,0
969267,3,2,2013-02-12,5725,758,1,0,0,0
969265,1,2,2013-02-12,4015,572,1,0,0,0
969268,4,2,2013-02-12,7800,1199,1,0,0,0
969273,9,2,2013-02-12,4570,433,1,0,0,0
969270,6,2,2013-02-12,5119,650,1,0,0,1
969271,7,2,2013-02-12,6506,791,1,0,0,0
969272,8,2,2013-02-12,3503,519,1,0,0,0
969269,5,2,2013-02-12,3178,448,1,0,0,1
968158,9,3,2013-02-13,4613,467,1,0,0,0
968157,8,3,2013-02-13,3993,553,1,0,0,0
968156,7,3,2013-02-13,7005,832,1,0,0,0
968155,6,3,2013-02-13,4804,630,1,0,0,1
968154,5,3,2013-02-13,4412,568,1,0,0,1
968153,4,3,2013-02-13,7983,1193,1,0,0,0
968152,3,3,2013-02-13,5111,680,1,0,0,0
968151,2,3,2013-02-13,5001,678,1,0,0,0
968150,1,3,2013-02-13,4252,604,1,0,0,0
967035,1,4,2013-02-14,4241,573,1,0,0,0
967036,2,4,2013-02-14,4439,574,1,0,0,0
967037,3,4,2013-02-14,5912,741,1,0,0,0
967038,4,4,2013-02-14,8239,1219,1,0,0,0
967040,6,4,2013-02-14,5056,645,1,0,0,1
967041,7,4,2013-02-14,6520,812,1,0,0,0
967042,8,4,2013-02-14,5316,724,1,0,0,0
967039,5,4,2013-02-14,3908,508,1,0,0,1
967043,9,4,2013-02-14,4491,452,1,0,0,0
965924,5,5,2013-02-15,3811,500,1,0,0,1
965928,9,5,2013-02-15,4832,469,1,0,0,0
965927,8,5,2013-02-15,3737,499,1,0,0,0
965926,7,5,2013-02-15,7677,903,1,0,0,0
965925,6,5,2013-02-15,5215,675,1,0,0,1
965923,4,5,2013-02-15,7993,1147,1,0,0,0
965922,3,5,2013-02-15,5159,673,1,0,0,0
965921,2,5,2013-02-15,3812,494,1,0,0,0
965920,1,5,2013-02-15,4809,607,1,0,0,0
964806,2,6,2013-02-16,2401,290,1,0,0,0
964807,3,6,2013-02-16,4000,488,1,0,0,0
964805,1,6,2013-02-16,6154,682,1,0,0,0
964808,4,6,2013-02-16,9757,1432,1,0,0,0
964813,9,6,2013-02-16,5292,495,1,0,0,0
964810,6,6,2013-02-16,3779,446,1,0,0,0
964811,7,6,2013-02-16,5140,566,1,0,0,0
964812,8,6,2013-02-16,2488,299,1,0,0,0
964809,5,6,2013-02-16,1740,196,1,0,0,0
963690,1,7,2013-02-17,0,0,0,0,0,0
963691,2,7,2013-02-17,0,0,0,0,0,0
963692,3,7,2013-02-17,0,0,0,0,0,0
963693,4,7,2013-02-17,0,0,0,0,0,0
963695,6,7,2013-02-17,0,0,0,0,0,0
963696,7,7,2013-02-17,0,0,0,0,0,0
963697,8,7,2013-02-17,0,0,0,0,0,0
963698,9,7,2013-02-17,0,0,0,0,0,0
963694,5,7,2013-02-17,0,0,0,0,0,0
962577,3,1,2013-02-18,10793,1008,1,1,0,0
962575,1,1,2013-02-18,6407,710,1,1,0,0
962576,2,1,2013-02-18,7493,757,1,1,0,1
962578,4,1,2013-02-18,13163,1660,1,1,0,0
962583,9,1,2013-02-18,6933,571,1,1,0,0
962580,6,1,2013-02-18,8262,873,1,1,0,0
962581,7,1,2013-02-18,11148,1093,1,1,0,0
962582,8,1,2013-02-18,8184,830,1,1,0,0
962579,5,1,2013-02-18,8397,780,1,1,0,0
961462,3,2,2013-02-19,7997,755,1,1,0,0
961460,1,2,2013-02-19,5386,608,1,1,0,0
961461,2,2,2013-02-19,5734,588,1,1,0,1
961463,4,2,2013-02-19,9719,1295,1,1,0,0
961468,9,2,2013-02-19,5713,492,1,1,0,0
961465,6,2,2013-02-19,6450,746,1,1,0,0
961467,8,2,2013-02-19,6351,704,1,1,0,0
961464,5,2,2013-02-19,3906,475,1,1,0,0
961466,7,2,2013-02-19,8497,914,1,1,0,0
960353,9,3,2013-02-20,5231,484,1,1,0,0
960352,8,3,2013-02-20,6324,697,1,1,0,0
960351,7,3,2013-02-20,7120,748,1,1,0,0
960350,6,3,2013-02-20,6535,741,1,1,0,0
960349,5,3,2013-02-20,5517,619,1,1,0,0
960348,4,3,2013-02-20,8906,1197,1,1,0,0
960347,3,3,2013-02-20,7862,812,1,1,0,0
960346,2,3,2013-02-20,6116,689,1,1,0,1
960345,1,3,2013-02-20,5660,684,1,1,0,0
959230,1,4,2013-02-21,5261,629,1,1,0,0
959231,2,4,2013-02-21,5276,589,1,1,0,1
959232,3,4,2013-02-21,7517,772,1,1,0,0
959233,4,4,2013-02-21,9303,1262,1,1,0,0
959236,7,4,2013-02-21,7735,854,1,1,0,0
959235,6,4,2013-02-21,6252,697,1,1,0,0
959237,8,4,2013-02-21,6562,781,1,1,0,0
959234,5,4,2013-02-21,4778,560,1,1,0,0
959238,9,4,2013-02-21,5328,457,1,1,0,0
958118,4,5,2013-02-22,10623,1415,1,1,0,0
958115,1,5,2013-02-22,5000,599,1,1,0,0
958116,2,5,2013-02-22,4552,509,1,1,0,1
958117,3,5,2013-02-22,7993,840,1,1,0,0
958119,5,5,2013-02-22,4874,560,1,1,0,0
958121,7,5,2013-02-22,8043,891,1,1,0,0
958122,8,5,2013-02-22,5493,610,1,1,0,0
958123,9,5,2013-02-22,5254,469,1,1,0,0
958120,6,5,2013-02-22,6796,741,1,1,0,0
957000,1,6,2013-02-23,5237,650,1,0,0,0
957001,2,6,2013-02-23,1919,230,1,0,0,0
957002,3,6,2013-02-23,3688,446,1,0,0,0
957003,4,6,2013-02-23,9708,1436,1,0,0,0
957005,6,6,2013-02-23,3403,378,1,0,0,0
957006,7,6,2013-02-23,4233,492,1,0,0,0
957007,8,6,2013-02-23,2122,273,1,0,0,0
957008,9,6,2013-02-23,4676,440,1,0,0,0
957004,5,6,2013-02-23,1425,182,1,0,0,0
955887,3,7,2013-02-24,0,0,0,0,0,0
955885,1,7,2013-02-24,0,0,0,0,0,0
955886,2,7,2013-02-24,0,0,0,0,0,0
955888,4,7,2013-02-24,0,0,0,0,0,0
955893,9,7,2013-02-24,0,0,0,0,0,0
955890,6,7,2013-02-24,0,0,0,0,0,0
955891,7,7,2013-02-24,0,0,0,0,0,0
955892,8,7,2013-02-24,0,0,0,0,0,0
955889,5,7,2013-02-24,0,0,0,0,0,0
954770,1,1,2013-02-25,4038,534,1,0,0,0
954771,2,1,2013-02-25,3084,432,1,0,0,0
954773,4,1,2013-02-25,7158,1143,1,0,0,0
954772,3,1,2013-02-25,5072,675,1,0,0,0
954775,6,1,2013-02-25,5660,773,1,0,0,0
954776,7,1,2013-02-25,6839,826,1,0,0,0
954777,8,1,2013-02-25,4241,609,1,0,0,0
954778,9,1,2013-02-25,4373,445,1,0,0,0
954774,5,1,2013-02-25,3372,490,1,0,0,0
953655,1,2,2013-02-26,3794,525,1,0,0,0
953656,2,2,2013-02-26,3919,480,1,0,0,0
953657,3,2,2013-02-26,5154,669,1,0,0,0
953658,4,2,2013-02-26,7199,1113,1,0,0,0
953659,5,2,2013-02-26,3664,469,1,0,0,0
953660,6,2,2013-02-26,5471,718,1,0,0,0
953661,7,2,2013-02-26,6464,807,1,0,0,0
